Watching for file changes with StatReloader
search leases!
"GET /static/js/TableBase.js HTTP/1.1" 200 22107
"GET /static/js/InformationBase.js HTTP/1.1" 200 9827
"GET /static/js/DragDiv.js HTTP/1.1" 200 606
"GET /static/js/PrintFile.js HTTP/1.1" 200 2650
"GET /static/css/drag.css HTTP/1.1" 200 0
"GET /static/css/user.css HTTP/1.1" 200 141
"GET /static/css/TableBase.css HTTP/1.1" 200 1456
"GET /favicon.ico HTTP/1.1" 404 3680
"GET /realty/ HTTP/1.1" 200 24778
"GET /static/js/jquery.min.js HTTP/1.1" 200 72328
"GET /static/css/drag.css HTTP/1.1" 200 0
"GET /static/css/TableBase.css HTTP/1.1" 200 1456
"GET /static/js/init.js HTTP/1.1" 200 3029
"GET /static/js/TableBase.js HTTP/1.1" 200 22107
"GET /static/js/PrintFile.js HTTP/1.1" 200 2650
"GET /static/js/DragDiv.js HTTP/1.1" 200 606
"GET /static/js/InformationBase.js HTTP/1.1" 200 9827
"GET /favicon.ico HTTP/1.1" 404 3680
"GET /user/ HTTP/1.1" 200 26462
"GET /static/js/jquery.min.js HTTP/1.1" 200 72328
"GET /static/css/drag.css HTTP/1.1" 200 0
"GET /static/js/init.js HTTP/1.1" 200 3029
"GET /static/css/user.css HTTP/1.1" 200 141
"GET /static/js/InformationBase.js HTTP/1.1" 200 9827
"GET /static/js/TableBase.js HTTP/1.1" 200 22107
"GET /static/css/TableBase.css HTTP/1.1" 200 1456
"GET /static/js/DragDiv.js HTTP/1.1" 200 606
"GET /static/js/PrintFile.js HTTP/1.1" 200 2650
"GET /favicon.ico HTTP/1.1" 404 3680
"GET /user/ HTTP/1.1" 200 26389
"GET /static/js/jquery.min.js HTTP/1.1" 200 72328
"GET /static/js/init.js HTTP/1.1" 200 3029
"GET /static/js/InformationBase.js HTTP/1.1" 200 9827
"GET /static/js/TableBase.js HTTP/1.1" 200 22107
"GET /static/css/drag.css HTTP/1.1" 200 0
"GET /static/js/DragDiv.js HTTP/1.1" 200 606
"GET /static/js/PrintFile.js HTTP/1.1" 200 2650
"GET /static/css/user.css HTTP/1.1" 200 141
"GET /static/css/TableBase.css HTTP/1.1" 200 1456
"GET /favicon.ico HTTP/1.1" 404 3680
"GET /user/ HTTP/1.1" 200 26389
"GET /static/js/init.js HTTP/1.1" 200 3029
"GET /static/js/TableBase.js HTTP/1.1" 200 22107
"GET /static/js/jquery.min.js HTTP/1.1" 200 72328
"GET /static/css/drag.css HTTP/1.1" 200 0
"GET /static/css/user.css HTTP/1.1" 200 141
"GET /static/css/TableBase.css HTTP/1.1" 200 1456
"GET /static/js/DragDiv.js HTTP/1.1" 200 606
"GET /static/js/InformationBase.js HTTP/1.1" 200 9827
"GET /static/js/PrintFile.js HTTP/1.1" 200 2650
"GET /favicon.ico HTTP/1.1" 404 3680
"GET /user/ HTTP/1.1" 200 26412
"GET /static/js/jquery.min.js HTTP/1.1" 200 72328
"GET /static/js/init.js HTTP/1.1" 200 3029
"GET /static/js/TableBase.js HTTP/1.1" 200 22107
"GET /static/css/drag.css HTTP/1.1" 200 0
"GET /static/js/PrintFile.js HTTP/1.1" 200 2650
"GET /static/js/InformationBase.js HTTP/1.1" 200 9827
"GET /static/js/DragDiv.js HTTP/1.1" 200 606
"GET /static/css/user.css HTTP/1.1" 200 141
"GET /static/css/TableBase.css HTTP/1.1" 200 1456
"GET /favicon.ico HTTP/1.1" 404 3680
"GET /user/ HTTP/1.1" 200 26414
"GET /static/js/InformationBase.js HTTP/1.1" 200 9827
"GET /static/js/init.js HTTP/1.1" 200 3029
"GET /static/js/DragDiv.js HTTP/1.1" 200 606
"GET /static/js/TableBase.js HTTP/1.1" 200 22107
"GET /static/js/PrintFile.js HTTP/1.1" 200 2650
"GET /static/js/jquery.min.js HTTP/1.1" 200 72328
"GET /static/css/drag.css HTTP/1.1" 200 0
